level,group,method,method_label,metric,registered_n,failure_n,finite_n,median,p95,max,audit_status_R1,audit_status_R2,observer_discrepancy_R2
type,D31,LC01,LC01,yaw_rmse_deg,9,0,9,3.016014157153275,3.197004708108343,3.305615359339911,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D31,LC01,LC01,horizontal_rmse_m,9,0,9,3.1360505444241658,8.064190092660207,8.32627435418161,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D31,LC01,LC01,up_rmse_m,9,0,9,9.186026179910845,11.640642077600079,11.877938192032005,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D31,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D31,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D31,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D06,LC01,LC01,yaw_rmse_deg,9,0,9,3.016014157153275,3.197004708108343,3.305615359339911,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D06,LC01,LC01,horizontal_rmse_m,9,0,9,3.1360505444241658,8.064190092660207,8.32627435418161,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D06,LC01,LC01,up_rmse_m,9,0,9,9.186026179910845,11.640642077600079,11.877938192032005,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D06,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,13.101612763523557,27.447959302050663,35.280006935735436,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.5704330589399866e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D06,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,3.4166387895243426,8.799200863380245,9.628090142217616,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.5704330589399866e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D06,EXT05C,EXT05C,up_rmse_m,9,0,9,9.16216478992262,11.718127500784014,11.909519880213223,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.5704330589399866e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
