evaluator,case_id,frozen_status,frozen_terminal,frozen_yaw_rmse_deg,frozen_h_rmse_m,R5_status,R5_failure_classification,R5_yaw_rmse_deg,R5_h_rmse_m,paired_finite,R5_failed_on_frozen_completed
v2,D49_seed_00,COMPLETED,COMPLETED,2.2089378066907734,0.16179788203596046,COMPLETED,NONE,1.882187716920137,0.16164564207492618,True,False
v2,D50_seed_00,COMPLETED,COMPLETED,2.2086610339634705,0.1621915539362252,COMPLETED,NONE,1.884897113142809,0.1620522549590968,True,False
v2,D51_seed_00,COMPLETED,COMPLETED,2.2111642136489404,0.16008444524612114,COMPLETED,NONE,1.8890873024109955,0.15994057810898527,True,False
v2,D52_seed_00,COMPLETED,COMPLETED,2.2680757637829254,0.1575257950810291,COMPLETED,NONE,1.9122829466566345,0.15736472445022318,True,False
v2,D53_seed_00,COMPLETED,COMPLETED,2.21211806817959,0.16354294033682917,COMPLETED,NONE,1.885432097600814,0.16339735920375026,True,False
v2,D54_seed_00,COMPLETED,COMPLETED,2.2248373057136903,0.16370900307578312,COMPLETED,NONE,1.88573428230535,0.16358598889583947,True,False
v2,D55_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.16153428180126697,COMPLETED,NONE,1.8862718548526467,0.16138277166675344,True,False
v2,D56_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.16153428180126697,COMPLETED,NONE,1.8862718548526467,0.16138277166675344,True,False
v2,D57_seed_00,COMPLETED,COMPLETED,1.7870833845921381,0.18822509620982442,NOT_RUN_ALGORITHM_FAILURE,ALGORITHM_FAILURE_NO_VALID_HEADING_INPUT,UNAVAILABLE,UNAVAILABLE,False,True
v2,D58_seed_00,COMPLETED,COMPLETED,2.236257158758738,0.1604331712382283,COMPLETED,NONE,1.885627375361614,0.16027322285005022,True,False
v2,D59_seed_00,COMPLETED,COMPLETED,31.745325621411972,3.565568147522416,COMPLETED,NONE,2.7034286882599177,3.5625591928154527,True,False
v2,D60_seed_00,COMPLETED,COMPLETED,1.9413335363795345,1.2226431950563181,NOT_RUN_ALGORITHM_FAILURE,ALGORITHM_FAILURE_DIVERGED,UNAVAILABLE,UNAVAILABLE,False,True
